"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","TRAP","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","HVT_perc","Rank","HVT_per_game","Touches_per_game"
"RB","Jamaal Williams","00-0033948","NO",124,25,0.798387096774194,60.8,84.02,13,"2023",4.67692307692308,6.46307692307692,0.201612903225806,"Other",1.92307692307692,9.53846153846154
"RB","Michael Carter","00-0036924","ARI",54,25,0.537037037037037,58.8,61.91,15,"2023",3.92,4.12733333333333,0.462962962962963,"Other",1.66666666666667,3.6
"RB","Chase Brown","00-0038597","CIN",58,15,0.741379310344828,53.5,44.16,10,"2023",5.35,4.416,0.258620689655172,"Other",1.5,5.8
"RB","Elijah Mitchell","00-0036567","SF",81,18,0.777777777777778,47.5,66.58,11,"2023",4.31818181818182,6.05272727272727,0.222222222222222,"Other",1.63636363636364,7.36363636363636
"RB","Matt Breida","00-0033308","NYG",72,18,0.75,46.9,55.81,15,"2023",3.12666666666667,3.72066666666667,0.25,"Other",1.2,4.8
"RB","Cam Akers","00-0036414","MIN",71,16,0.774647887323944,46.7,50.8,7,"2023",6.67142857142857,7.25714285714286,0.225352112676056,"Other",2.28571428571429,10.1428571428571
"RB","Royce Freeman","00-0034838","LA",78,10,0.871794871794872,46.2,55.03,9,"2023",5.13333333333333,6.11444444444444,0.128205128205128,"Other",1.11111111111111,8.66666666666667
"RB","Jordan Mason","00-0037525","SF",43,5,0.883720930232558,44.7,27.29,9,"2023",4.96666666666667,3.03222222222222,0.116279069767442,"Other",0.555555555555556,4.77777777777778
"RB","Darrell Henderson","00-0035664","LA",56,15,0.732142857142857,43.5,55.72,4,"2023",10.875,13.93,0.267857142857143,"Other",3.75,14
"RB","Kendre Miller","00-0038551","NO",51,11,0.784313725490196,43.3,38.68,7,"2023",6.18571428571429,5.52571428571429,0.215686274509804,"Other",1.57142857142857,7.28571428571429
"RB","Salvon Ahmed","00-0036020","MIA",38,19,0.5,42.9,49.62,7,"2023",6.12857142857143,7.08857142857143,0.5,"Other",2.71428571428571,5.42857142857143
"RB","Pierre Strong","00-0038098","CLE",68,7,0.897058823529412,42.8,47.9,13,"2023",3.29230769230769,3.68461538461538,0.102941176470588,"Other",0.538461538461538,5.23076923076923
"RB","Jeff Wilson","00-0034115","MIA",55,16,0.709090909090909,41.3,48.35,9,"2023",4.58888888888889,5.37222222222222,0.290909090909091,"Other",1.77777777777778,6.11111111111111
"RB","Ameer Abdullah","00-0032104","LV",34,19,0.441176470588235,41,44.77,16,"2023",2.5625,2.798125,0.558823529411765,"Other",1.1875,2.125
"RB","Dalvin Cook","00-0033893","BAL",82,17,0.792682926829268,40.2,59.15,14,"2023",2.87142857142857,4.225,0.207317073170732,"Other",1.21428571428571,5.85714285714286
"RB","Chase Edmonds","00-0034681","TB",63,14,0.777777777777778,39.7,46.32,13,"2023",3.05384615384615,3.56307692307692,0.222222222222222,"Other",1.07692307692308,4.84615384615385
"RB","Chris Rodriguez","00-0038611","WAS",53,6,0.886792452830189,37.9,35.24,8,"2023",4.7375,4.405,0.113207547169811,"Other",0.75,6.625
"RB","Cordarrelle Patterson","00-0030578","ATL",59,14,0.76271186440678,36.9,53.97,12,"2023",3.075,4.4975,0.23728813559322,"Other",1.16666666666667,4.91666666666667
"RB","D'Ernest Johnson","00-0035628","JAX",51,13,0.745098039215686,34.8,40.84,15,"2023",2.32,2.72266666666667,0.254901960784314,"Other",0.866666666666667,3.4
"RB","Ty Johnson","00-0035537","BUF",37,7,0.810810810810811,32.4,28.66,7,"2023",4.62857142857143,4.09428571428571,0.189189189189189,"Other",1,5.28571428571429
"RB","Tony Jones","00-0035860","ARI",33,12,0.636363636363636,32.2,34.88,6,"2023",5.36666666666667,5.81333333333333,0.363636363636364,"Other",2,5.5
"RB","Craig Reynolds","00-0035567","DET",46,10,0.782608695652174,31.6,33.78,6,"2023",5.26666666666667,5.63,0.217391304347826,"Other",1.66666666666667,7.66666666666667
"RB","Patrick Taylor","00-0035973","GB",43,12,0.720930232558139,30,42.5,10,"2023",3,4.25,0.279069767441861,"Other",1.2,4.3
